,id,host_id,neighborhood_group,neighborhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,host_listings_count,availability_365,num_reviews_ltm,price_category
3281,9368828.0,4010883,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,52.50931,13.4536,Private room,90,21,32,0.41,1,117,2,high_price
3282,9375341.0,47371579,Mitte,Wedding Zentrum,52.55323,13.37789,Private room,50,9,0,0.0,2,0,0,middle_price
3283,9375515.0,19281206,Mitte,Wedding Zentrum,52.5519,13.37782,Private room,50,5,0,0.0,1,0,0,middle_price
3284,9376881.0,48651119,Pankow,Prenzlauer Berg Nordwest,52.55403,13.40076,Entire home/apt,38,50,19,0.26,1,70,3,middle_price
3285,9378741.0,48658819,Charlottenburg-Wilm.,Neue Kantstraße,52.50894,13.29972,Entire home/apt,28,4,0,0.0,1,0,0,low_price
3286,9379491.0,42233403,Tempelhof - Schöneberg,Schöneberg-Nord,52.49396,13.36516,Entire home/apt,75,3,0,0.0,1,0,0,middle_price
3287,9385342.0,21391780,Mitte,Parkviertel,52.54635,13.34484,Private room,25,3,0,0.0,1,0,0,low_price
3288,9396779.0,1198821,Mitte,Osloer Straße,52.5629,13.39144,Entire home/apt,55,2,0,0.0,1,0,0,middle_price
3289,9398048.0,43094644,Neukölln,Rixdorf,52.48431,13.44509,Private room,80,6,15,0.19,3,0,1,middle_price
3290,9400584.0,759922,Pankow,Helmholtzplatz,52.54089,13.42061,Entire home/apt,20,20,2,0.03,1,0,0,low_price
3291,9403422.0,48765425,Treptow - Köpenick,Friedrichshagen,52.45564,13.61223,Entire home/apt,50,3,3,0.05,1,0,0,middle_price
3292,9403793.0,7135007,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,52.50996,13.45536,Private room,35,3,15,0.2,1,0,0,middle_price
3293,9405996.0,19916716,Neukölln,Reuterstraße,52.48499,13.43513,Private room,23,1,1,0.01,1,0,0,low_price
3294,9410964.0,48796721,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.49392,13.40512,Private room,50,3,2,0.06,1,0,0,middle_price
3295,9412596.0,23686566,Mitte,Parkviertel,52.54622,13.34951,Entire home/apt,22,3,2,0.03,1,0,0,low_price
3296,9413152.0,30518151,Charlottenburg-Wilm.,Neue Kantstraße,52.50398,13.29892,Private room,60,5,18,0.25,3,37,0,middle_price
3297,9423319.0,5856324,Pankow,Prenzlauer Berg Nordwest,52.54581,13.40667,Entire home/apt,56,61,27,0.35,1,35,4,middle_price
3298,9428090.0,30981168,Pankow,Prenzlauer Berg Nord,52.54673,13.42491,Entire home/apt,87,2,149,1.95,3,250,22,high_price
3299,9438521.0,48919884,Neukölln,Neuköllner Mitte/Zentrum,52.46769,13.4347,Entire home/apt,45,1,0,0.0,1,0,0,middle_price
3300,9440925.0,48929254,Friedrichshain-Kreuzberg,Südliche Friedrichstadt,52.50004,13.38868,Private room,133,1,12,0.16,4,265,0,high_price
3301,9442021.0,29080198,Mitte,Wedding Zentrum,52.55238,13.37228,Private room,29,1,13,0.17,1,0,0,low_price
3302,9443106.0,9359074,Charlottenburg-Wilm.,Westend,52.50912,13.27877,Entire home/apt,55,1,350,4.55,3,53,1,middle_price
3303,9443212.0,21904749,Mitte,Alexanderplatz,52.5281,13.39128,Entire home/apt,55,3,2,0.03,1,0,0,middle_price
3304,9446232.0,48929254,Friedrichshain-Kreuzberg,Südliche Friedrichstadt,52.50005,13.38849,Private room,157,1,30,0.39,4,295,2,high_price
3305,9446712.0,48929254,Friedrichshain-Kreuzberg,Südliche Friedrichstadt,52.50001,13.3881,Entire home/apt,175,30,18,0.23,4,364,1,high_price
3306,9447058.0,48929254,Friedrichshain-Kreuzberg,Südliche Friedrichstadt,52.50043,13.38967,Entire home/apt,184,1,3,0.04,4,283,2,high_price
3307,9448356.0,48961235,Lichtenberg,Frankfurter Allee Süd,52.5102,13.4924,Entire home/apt,35,1,1,0.01,1,0,0,middle_price
3308,9450300.0,23023905,Neukölln,Rixdorf,52.46967,13.44362,Private room,25,14,0,0.0,1,0,0,low_price
3309,9460079.0,49021089,Friedrichshain-Kreuzberg,nördliche Luisenstadt,52.50022,13.41494,Private room,33,1,5,0.08,1,225,0,low_price
3310,9467593.0,13592772,Mitte,Brunnenstr. Süd,52.53398,13.40658,Private room,30,20,0,0.0,1,0,0,low_price
3312,9469485.0,24059884,Neukölln,Reuterstraße,52.49446,13.42269,Entire home/apt,58,120,0,0.0,1,301,0,middle_price
3313,9469691.0,49071383,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,52.50853,13.46831,Private room,30,2,4,0.06,1,0,0,low_price
3314,9472590.0,16117859,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,52.50876,13.47153,Entire home/apt,70,1,3,0.04,1,0,0,middle_price
3315,9484382.0,42465270,Neukölln,Schillerpromenade,52.46966,13.42217,Private room,28,3,20,0.26,1,0,0,low_price
3316,9484989.0,15506870,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.49052,13.39703,Entire home/apt,32,150,3,0.05,3,0,0,low_price
3317,9485145.0,12895544,Pankow,Prenzlauer Berg Nordwest,52.54246,13.41179,Entire home/apt,135,1,0,0.0,1,0,0,high_price
3318,9490216.0,47614334,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,52.51351,13.4639,Private room,41,1,2,0.03,1,0,0,middle_price
3319,9490403.0,10531014,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,52.50991,13.46223,Entire home/apt,57,10,1,0.01,1,0,0,middle_price
3320,9492761.0,7552025,Pankow,Prenzlauer Berg Ost,52.53628,13.43832,Private room,35,5,30,0.41,2,287,1,middle_price
3321,9494117.0,9026893,Pankow,Prenzlauer Berg Süd,52.53353,13.4264,Entire home/apt,73,5,41,0.54,1,0,0,middle_price
3322,9501847.0,25449632,Tempelhof - Schöneberg,Tempelhof,52.46396,13.38633,Private room,23,7,0,0.0,1,0,0,low_price
3323,9503311.0,7997118,Pankow,Pankow Zentrum,52.57231,13.41098,Private room,26,3,1,0.02,1,0,0,low_price
3324,9507374.0,18457343,Tempelhof - Schöneberg,Schöneberg-Nord,52.50248,13.33931,Private room,20,1,1,0.01,1,0,0,low_price
3325,9510847.0,246313,Neukölln,Neuköllner Mitte/Zentrum,52.48048,13.42905,Private room,40,2,27,0.36,1,14,11,middle_price
3326,9517360.0,3973572,Pankow,Helmholtzplatz,52.54541,13.41468,Entire home/apt,65,60,9,0.12,1,0,0,middle_price
3327,9518186.0,42149492,Friedrichshain-Kreuzberg,Karl-Marx-Allee-Nord,52.51736,13.44389,Private room,25,2,9,0.12,1,0,0,low_price
3328,9520198.0,34383750,Friedrichshain-Kreuzberg,Frankfurter Allee Nord,52.51701,13.45872,Private room,32,2,16,0.22,1,0,0,low_price
3329,9521041.0,49329346,Pankow,Helmholtzplatz,52.54427,13.4225,Entire home/apt,120,2,26,0.36,1,340,0,high_price
3330,9522702.0,21996398,Neukölln,Reuterstraße,52.49199,13.43077,Entire home/apt,90,7,17,0.22,1,0,0,high_price
3331,9524021.0,9988160,Neukölln,Rixdorf,52.47248,13.44945,Private room,69,10,44,0.6,1,66,0,middle_price
3332,9524286.0,6353673,Mitte,Wedding Zentrum,52.54979,13.35707,Entire home/apt,51,2,18,0.28,1,0,0,middle_price
3333,9526964.0,3706401,Tempelhof - Schöneberg,Schöneberg-Nord,52.49134,13.3689,Entire home/apt,60,7,2,0.04,1,0,0,middle_price
